sample_id,true_label,base_pred,steered_pred,base_case,steered_case,base_status,steered_status,effect_group,prediction_changed,condition_score,condition_threshold,condition_gate
yfcc-8687877684,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.0433097742497921,-0.07901761,True
yfcc-8709361761,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.05565762147307396,-0.07901761,True
yfcc-8724971015,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.05929800122976303,-0.07901761,True
yfcc-8731213407,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.08209265023469925,-0.07901761,True
yfcc-87603870,C,C,C,C_to_C,C_to_C,correct,correct,correct_to_correct,False,-0.1677316129207611,-0.07901761,False
yfcc-8788712104,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07163840532302856,-0.07901761,True
yfcc-8872268291,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.08760932087898254,-0.07901761,True
yfcc-8996526755,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.0650395005941391,-0.07901761,True
yfcc-9031231108,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.10362844169139862,-0.07901761,True
yfcc-9318404306,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.09565107524394989,-0.07901761,True
yfcc-9393468013,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.10004962235689163,-0.07901761,True
yfcc-9520655398,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.005586192011833191,-0.07901761,True
yfcc-9575757089,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.001744389533996582,-0.07901761,True
yfcc-9640910501,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.043489500880241394,-0.07901761,True
yfcc-984664910,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.03933504596352577,-0.07901761,True
yfcc-9880081374,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.1000334620475769,-0.07901761,True
